CNPJ,Razão Social,Nome fantasia
10.573.521/0001-91,MERCADOPAGO.COM REPRESENTACOES LTDA.,
23.010.551/0001-31,PAGSMILE INTERMEDIACAO E AGENCIAMENTO DE NEGOCIOS LTDA,PAGSMILE
14.796.606/0001-90,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,ADYEN LATIN AMERICA
09.077.620/0001-01,GOETTEN ADMINISTRADORA DE CREDIARIO LTDA.,TIDAS CREDIARIO
79.379.491/0001-83,HAVAN S.A.,
16.667.539/0001-39,TIDAS TECNOLOGIA LTDA,TIDAS TECNOLOGIA
14.380.200/0001-21,IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.,
20.937.849/0001-01,JEITTO MEIOS DE PAGAMENTO LTDA.,
34.841.787/0001-36,PAY BROKERS COBRANCA E SERVICOS EM TECNOLOGIA LTDA.,
33.967.103/0001-84,DEMERGE BRASIL FACILITADORA DE PAGAMENTOS LTDA,
02.421.421/0001-11,TIM S A,
13.236.697/0001-46,EBANX LTDA,EBANX
13.935.893/0001-09,CELCOIN INSTITUICAO DE PAGAMENTO S.A.,CELCOIN
38.372.267/0001-82,SHPP BRASIL INSTITUICAO DE PAGAMENTO E SERVICOS DE PAGAMENTOS LTDA,
11.670.214/0001-91,RCS GESTAO DE COBRANCAS LTDA.,
02.558.157/0001-62,TELEFONICA BRASIL S.A.,
40.432.544/0001-47,CLARO S.A.,CLARO
43.180.355/0001-12,PEFISA SA CREDITO FINANCIAMENTO E INVESTIMENTO,
10.878.448/0001-66,PAYPAL DO BRASIL SERVICOS DE PAGAMENTOS LTDA.,
29.934.678/0001-23,ZIPPI SOLUCOES DE CREDITO LTDA,ZIPPI
43.215.655/0001-90,LIQUIDO BRL PAGAMENTOS DIGITAIS LTDA,
44.783.669/0001-72,OKTO PAGAMENTOS BRASIL LTDA,
17.895.646/0001-87,UBER DO BRASIL TECNOLOGIA LTDA.,
17.948.578/0001-77,MAGALU PAGAMENTOS LTDA,MAGALU PAGAMENTOS
13.427.325/0001-05,"LAUNCH PAD TECNOLOGIA, SERVICOS E PAGAMENTOS LTDA.",HOTMART
